OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SalePrice,ExterQual,BsmtQual,KitchenQual
7,2003,2003,856,1710,2,2,12.24769911637256,Gd,Gd,Gd
6,1976,1976,1262,1262,2,2,12.109016442313738,TA,Gd,TA
7,2001,2002,920,1786,2,2,12.317171167298682,Gd,Gd,Gd
7,1915,1970,756,1717,1,3,11.849404844423074,TA,TA,Gd
8,2000,2000,1145,2198,2,3,12.429220196836383,Gd,Gd,Gd
5,1993,1995,796,1362,1,2,11.870606902224587,TA,Gd,TA
8,2004,2005,1686,1694,2,2,12.634606283893019,Gd,Ex,Gd
7,1973,1973,1107,2090,2,2,12.206077645517674,TA,Gd,TA
7,1931,1950,952,1774,2,2,11.774527900858468,TA,TA,TA
5,1939,1950,991,1077,1,1,11.678448377988165,TA,TA,TA
5,1965,1965,1040,1040,1,1,11.771443882099637,TA,TA,TA
9,2005,2006,1175,2324,3,3,12.75130259456002,Ex,Ex,Ex
5,1962,1962,912,912,1,1,11.87757552297847,TA,TA,TA
7,2006,2007,1494,1494,2,3,12.540761149388421,Gd,Gd,Gd
6,1960,1960,1253,1253,1,1,11.964007453736912,TA,TA,TA
7,1929,2001,832,854,1,2,11.790564777297387,TA,TA,TA
6,1970,1970,1004,1004,1,2,11.91170829631447,TA,TA,TA
4,1967,1967,0,1296,2,2,11.407576060361786,TA,None,TA
5,2004,2004,1114,1114,1,2,11.976665770490767,TA,TA,Gd
5,1958,1965,1029,1339,1,1,11.842236406331555,TA,TA,TA
8,2005,2006,1158,2376,3,3,12.692506186542177,Gd,Ex,Gd
7,1930,1950,637,1108,1,1,11.845109950883979,TA,TA,Gd
8,2002,2002,1777,1795,2,2,12.345838935721968,Gd,Gd,Gd
5,1976,1976,1040,1060,1,2,11.774527900858468,TA,Gd,TA
5,1968,2001,1060,1060,1,1,11.944714374881176,TA,TA,Gd
8,2007,2007,1566,1600,2,3,12.454107814022272,Gd,Gd,Gd
5,1951,2000,900,900,1,2,11.811554895830454,TA,TA,Gd
8,2007,2008,1704,1704,2,3,12.631343648903034,Gd,Ex,Gd
5,1957,1997,1484,1600,1,1,12.242891437918386,TA,TA,TA
4,1927,1950,520,520,1,1,11.134603622683905,TA,TA,Fa
4,1920,1950,649,1317,1,1,10.596659732783579,TA,TA,TA
5,1966,2006,1228,1228,1,1,11.914054519303125,TA,TA,Gd
8,2007,2007,1234,1234,2,2,12.100161978566867,Gd,Ex,Gd
5,1959,1959,1398,1700,1,2,12.016732516077072,TA,TA,Gd
9,2005,2005,1561,1561,2,2,12.533579815765737,Ex,Ex,Ex
8,2004,2005,1117,2452,3,3,12.6410997921206,Gd,Ex,Gd
5,1994,1995,1097,1097,1,2,11.884495917930655,TA,Gd,TA
5,1954,1990,1297,1297,1,2,11.938199736300925,TA,TA,TA
5,1953,2007,1057,1057,1,1,11.599112335481124,TA,TA,Gd
4,1955,1955,0,1152,2,0,11.314486721293981,TA,None,Fa
6,1965,1965,1088,1324,2,2,11.982935344196433,TA,TA,TA
5,1959,1959,1350,1328,1,1,12.04355959836804,TA,TA,TA
5,1983,1983,840,884,1,2,11.87757552297847,TA,Gd,Gd
5,1975,1980,938,938,1,1,11.777218637129327,TA,Gd,TA
5,1959,1959,1150,1150,1,1,11.856522261533737,TA,TA,TA
9,2005,2005,1752,1752,2,2,12.675766851909591,Ex,Ex,Ex
7,2003,2003,1434,2149,1,2,12.387089184491993,Gd,Ex,Gd
8,2006,2006,1656,1656,2,3,12.428019481065613,Gd,Gd,Gd
4,1920,2008,736,1452,2,0,11.635151947212842,TA,TA,TA
5,1966,1966,955,955,1,1,11.751950239425476,TA,TA,TA
6,1997,1997,794,1470,2,2,12.083910661257521,TA,Gd,TA
6,1934,1950,816,1176,1,2,11.648338835562747,TA,TA,TA
5,1963,1963,816,816,1,2,11.608244735642321,Fa,Gd,TA
9,1981,1987,1842,1842,0,3,12.861001210669146,Gd,Ex,Gd
5,1955,1955,384,1360,1,2,11.775297421715827,TA,TA,TA
6,1964,1964,1425,1425,2,2,12.103491596905931,TA,TA,TA
8,1999,2000,970,1739,2,2,12.058158312538197,Gd,Gd,Gd
7,2004,2004,860,1720,2,2,12.188422799337028,Gd,Gd,Gd
10,2006,2006,1410,2945,3,3,12.991755706536901,Ex,Ex,Gd
5,1972,1972,780,780,1,1,11.735276702486741,TA,TA,TA
6,2004,2004,1158,1158,1,2,11.970356641102999,TA,Gd,Gd
5,1920,1996,530,1111,1,1,11.522885696764481,TA,TA,Fa
8,2006,2006,1370,1370,2,2,12.218500103788143,Gd,Gd,Gd
7,1921,1950,576,1710,2,2,11.849404844423074,TA,TA,TA
7,1997,1998,1057,2034,2,2,12.299112067295642,TA,Gd,Gd
8,2004,2005,1143,2473,2,3,12.666660207428574,Gd,Ex,Gd
7,1970,1989,1947,2207,2,2,12.100717685412471,TA,Gd,TA
7,2003,2003,1453,1479,2,2,12.328294703023394,Gd,Gd,Gd
4,1945,1950,747,747,1,1,11.289794413577894,TA,TA,TA
